State,White deaths per 100K,Black deaths per 100K,Hispanic deaths per 100K,Asian deaths per 100K,Total deaths per 100K
New York,51.332327168516514,184.9300943867182,132.54088644981942,79.69990947951887,87.15629123078236
Connecticut,59.8238538426382,97.65184014450215,34.20675738943702,12.302846878767747,55.62702470107442
New Jersey,38.040449205270434,111.64125710493842,61.126919589031495,39.33954905766475,51.445515723250885
Louisiana,24.278171623673007,67.33107966780678,11.903784582546589,16.674805559856598,36.76083660149695
Michigan,20.049397220690764,114.25300750994656,7.533733282051079,12.403060291928872,31.398337193046874
Rhode Island,24.35607003024867,27.973984194698932,21.426909749856133,0.0,22.366107702717624
Massachusetts,20.747716732116405,38.71540203329106,25.021817052306695,15.100674866925303,21.487447409326688
District of Columbia,8.286769580452694,26.373905721230994,10.453963358858427,7.128599942971201,16.427175736196848
Illinois,10.351951017273846,46.24375597594431,14.771671197098954,14.354046173631762,16.122451896860365
Maryland,12.13249466920362,25.947097189608552,11.261463435333903,10.274931479050698,15.564647233549186
Colorado,13.055803749553577,23.690205011389523,10.855837788922736,15.89319771137953,12.662395218679567
Delaware,12.209052427009102,17.41738835937878,5.584096493187402,2.603895427559629,11.955020016861775
Indiana,10.494839248046663,27.8919553728714,3.032810678959659,2.728308244265437,11.144747014242776
Georgia,6.196410164445436,17.65591668872372,3.5947085889570554,5.146213734509284,9.300649635994626
Washington,9.749654478154175,8.771561833790345,5.739844726570804,11.342958339390899,8.682450903305718
Vermont,7.257571201957471,0.0,0.0,18.061952497064933,7.055160128083225
Pennsylvania,6.032139443433919,16.52270226602282,0.0,5.876702265920778,6.575280677413216
Ohio,6.073199546215744,11.329810067345516,2.976449416386957,1.169877981726506,6.312931499804137
Wisconsin,3.633415952820837,28.152376115744907,4.272999419374784,3.1529230749828163,5.090171086689409
Alabama,3.634711494775102,9.060927055697826,3.4658612665247315,4.580572266161786,5.00538797192962
Oklahoma,5.859669832828664,7.065440106264219,0.9576067492123683,2.3695559452158665,4.502826859438535
Virginia,4.553681785655519,8.58913167640415,0.0,0.0,4.427380336764258
California,3.714945080386486,9.056301083198298,4.005865103397193,5.422548576704238,4.216340720596658
Kansas,3.256829503618473,25.442450418249063,1.157708894098579,0.0,4.016308271226447
Minnesota,4.354602949996588,4.76258513120922,2.3595558641704812,1.1020174265689056,3.962983936824656
North Carolina,2.7035787039568957,5.6535686198443935,0.8311981929751285,1.364954785872718,3.017495928083922
Idaho,2.91337609127252,9.134922809902257,1.8724926153572483,8.811349017534585,2.795666483977628
Tennessee,2.2570515732254033,5.38026357911274,1.6611157714636922,5.071336804381635,2.7397325544551623
Arizona,3.4926403031403264,3.4437752041297753,1.861797415552729,1.771400735131305,2.6937389809685204
Oregon,1.5960407973564457,6.725401842760106,1.2940819782446333,3.3325557369947014,1.6414114593692732
Arkansas,1.3803848236811458,3.951701427003293,0.0,0.0,1.5977211171132908
Alaska,0.8926957402791013,0.0,0.0,4.117852951471103,0.8110354895612973
Texas,0.970047301193445,1.381296761399602,0.5556177389387038,0.37175743868046923,0.8055228910527464
